통계기준월,시군구,연료별,용도별,승    용,승    합,화    물,특    수,계
201803,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,"2,537",0,0,0,"2,537"
201803,서울특별시 양천구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
201803,서울특별시 양천구,휘발유,비사업용,"34,015",11,25,0,"34,051"
201803,서울특별시 양천구,휘발유,사업용,14,0,0,0,14
201803,서울특별시 양천구,휘발유(무연),비사업용,"43,903",19,32,0,"43,954"
201803,서울특별시 양천구,휘발유(무연),사업용,73,0,0,0,73
201803,서울특별시 양천구,휘발유(유연),비사업용,38,0,0,0,38
201804,서울특별시 양천구,계,계,"128,752","5,564","15,975",552,"150,843"
201804,서울특별시 양천구,CNG,비사업용,25,2,19,0,46
201804,서울특별시 양천구,CNG,사업용,2,643,0,0,645
201804,서울특별시 양천구,경유,비사업용,"34,699","3,778","11,975",122,"50,574"
201804,서울특별시 양천구,경유,사업용,67,176,"2,329",424,"2,996"
201804,서울특별시 양천구,기타연료,비사업용,2,42,147,5,196
201804,서울특별시 양천구,기타연료,사업용,0,0,47,0,47
201804,서울특별시 양천구,엘피지,비사업용,"8,610",891,"1,157",1,"10,659"
201804,서울특별시 양천구,엘피지,사업용,"4,587",2,244,0,"4,833"
201804,서울특별시 양천구,전기,비사업용,91,0,1,0,92
201804,서울특별시 양천구,전기,사업용,7,0,0,0,7
201804,서울특별시 양천구,하이브리드(LPG+전기),비사업용,102,0,0,0,102
201804,서울특별시 양천구,하이브리드(경유+전기),비사업용,2,0,0,0,2
201804,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,"2,585",0,0,0,"2,585"
201804,서울특별시 양천구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
201804,서울특별시 양천구,휘발유,비사업용,"33,952",12,24,0,"33,988"
201804,서울특별시 양천구,휘발유,사업용,13,0,0,0,13
201804,서울특별시 양천구,휘발유(무연),비사업용,"43,893",18,32,0,"43,943"
201804,서울특별시 양천구,휘발유(무연),사업용,74,0,0,0,74
201804,서울특별시 양천구,휘발유(유연),비사업용,39,0,0,0,39
201805,서울특별시 양천구,계,계,"128,702","5,516","15,963",551,"150,732"
201805,서울특별시 양천구,CNG,비사업용,23,2,19,0,44
201805,서울특별시 양천구,CNG,사업용,1,643,0,0,644
201805,서울특별시 양천구,경유,비사업용,"34,742","3,748","11,970",124,"50,584"
201805,서울특별시 양천구,경유,사업용,62,178,"2,323",421,"2,984"
201805,서울특별시 양천구,기타연료,비사업용,2,41,151,5,199
201805,서울특별시 양천구,기타연료,사업용,0,0,47,0,47
201805,서울특별시 양천구,엘피지,비사업용,"8,582",870,"1,153",1,"10,606"
201805,서울특별시 양천구,엘피지,사업용,"4,549",3,239,0,"4,791"
201805,서울특별시 양천구,전기,비사업용,97,0,1,0,98
201805,서울특별시 양천구,전기,사업용,6,0,0,0,6
201805,서울특별시 양천구,하이브리드(LPG+전기),비사업용,101,0,0,0,101
201805,서울특별시 양천구,하이브리드(경유+전기),비사업용,2,0,0,0,2
201805,서울특별시 양천구,하이브리드(휘발유+전기),비사업용,"2,642",0,0,0,"2,642"
201805,서울특별시 양천구,하이브리드(휘발유+전기),사업용,2,0,0,0,2
201805,서울특별시 양천구,휘발유,비사업용,"33,863",12,28,0,"33,903"
201805,서울특별시 양천구,휘발유,사업용,13,0,0,0,13
201805,서울특별시 양천구,휘발유(무연),비사업용,"43,902",19,32,0,"43,953"
201805,서울특별시 양천구,휘발유(무연),사업용,75,0,0,0,75
201805,서울특별시 양천구,휘발유(유연),비사업용,38,0,0,0,38
201806,서울특별시 양천구,계,계,"128,715","5,469","15,919",557,"150,660"
201806,서울특별시 양천구,CNG,비사업용,23,2,19,0,44
201806,서울특별시 양천구,CNG,사업용,1,643,0,0,644
201806,서울특별시 양천구,경유,비사업용,"34,842","3,716","11,949",129,"50,636"
201806,서울특별시 양천구,경유,사업용,62,177,"2,327",422,"2,988"
