사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 영등포동7가,엘피지,121,15,59,,,,56,8,124,15,54,,,,71,5,124,14,47,,,,64,5,124,13,44,,,,69,6,95,33,35,,,,53,4,89,34,29,,,,45,2,82,29,22,,,,44,2,71,8,19,,,,40,2,96,9,18,,,,36,4,110,8,19,,,,30,3
서울특별시 영등포구 영등포동7가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
서울특별시 영등포구 영등포동7가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동7가,하이브리드(휘발유+전기),1,,,,,,,,1,,,,,,,,4,,,,,,,,11,,,,,,,,5,,,,,,,,7,,,,,,,,12,,,,,,,,16,,,,,,,,58,,,,,,,,77,,,,,,,
서울특별시 영등포구 영등포동7가,휘발유,376,,,,,,2,,413,,,,,,2,,429,,,,,,2,,437,,,,,,2,,401,2,,,,,2,,391,1,,,,,2,,383,,,,,,2,,354,,,,,,2,,590,,,,,,2,,673,,,,,,3,
서울특별시 영등포구 영등포동7가,휘발유(무연),697,,,,,,1,,693,,,,,,,,670,,,,,,,,675,,,,,,,,577,4,,,,,,,543,3,,,,,,,541,4,1,,,,,,559,,1,,,,,,830,,,,,,,,923,,,,,,,
서울특별시 영등포구 영등포동7가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 영등포동8가,경유,243,3,50,5,2,19,131,3,240,3,50,5,2,19,114,2,259,4,54,5,3,22,111,2,267,3,50,5,4,20,109,3,338,3,58,5,5,21,125,6,375,3,59,6,5,18,151,8,403,5,64,5,5,1,153,8,438,6,67,4,3,2,148,6,466,6,62,4,2,2,158,6,478,6,51,2,4,2,152,6
서울특별시 영등포구 영등포동8가,기타연료,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,1,,,,,,,1,1,,,,,,,1,1,,,,,,,1,2,,,1,,,,1,5,,,1,,,,2,5
서울특별시 영등포구 영등포동8가,엘피지,74,51,26,,,,38,,65,53,18,,,,29,2,62,53,15,,,,29,2,63,36,14,,,,27,2,63,38,8,,,,29,1,59,39,10,,,,25,1,48,38,6,,,,22,2,55,39,4,,,,26,1,56,37,3,,,,21,2,55,32,4,,,,17,1
서울특별시 영등포구 영등포동8가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
서울특별시 영등포구 영등포동8가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,2,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 영등포동8가,하이브리드(휘발유+전기),1,,,,,,,,2,,,,,,,,5,,,,,,,,10,,,,,,,,14,,,,,,,,14,,,,,,,,17,,,,,,,,25,,,,,,,,37,,,,,,,,46,,,,,,,
서울특별시 영등포구 영등포동8가,휘발유,382,7,1,,,,,,390,6,,,,,,,403,5,,,,,,,402,4,,,,,,,447,3,,,,,,,469,4,1,,,,,,465,2,1,,,,,,484,3,1,,,,,,486,2,1,,,,,,484,2,1,,,,,
서울특별시 영등포구 영등포동8가,휘발유(무연),546,4,3,,,,,,533,4,3,,,,,,520,5,3,,,,,,500,5,3,,,,,,545,9,3,,,,,,566,9,3,,,,,,562,11,3,,,,,,596,11,2,,,,,,626,11,2,,,,,,627,9,,,,,,
서울특별시 영등포구 여의도동,CNG,12,,1,,,,8,,8,,1,,,,8,,12,,1,,,,15,,20,,1,,,,19,,8,,1,,,,9,,2,,1,,,,5,,9,,1,,,,5,,9,,1,,,,5,,8,,1,,,,4,,1,,2,,,,4,
서울특별시 영등포구 여의도동,경유,6891,437,1294,343,40,3,3569,233,5354,257,1199,306,37,2,4076,234,3915,48,1085,261,54,2,3871,221,3468,15,956,239,55,4,4050,212,4181,23,869,204,52,3,3445,206,6350,181,779,207,57,23,2669,221,8693,156,766,177,177,149,2517,295,9097,112,689,160,264,150,1725,413,7607,66,606,83,260,144,1288,380,6069,24,569,62,272,149,1228,350
서울특별시 영등포구 여의도동,기타연료,4,,2,,,3,2,10,4,,3,,,3,3,10,2,,4,,1,3,7,10,2,,3,,1,3,9,10,2,,2,,2,3,7,2,1,,2,,2,3,9,42,1,,1,,3,3,11,42,1,,4,,3,2,11,42,1,,6,,2,2,17,42,1,,8,,3,2,17,44
서울특별시 영등포구 여의도동,수소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,2,,,,,,,
서울특별시 영등포구 여의도동,엘피지,914,2513,231,12,,,173,3,761,1185,202,6,,,186,4,607,286,166,4,,,247,3,529,202,139,1,,,223,5,588,127,114,1,1,,137,3,573,217,86,1,1,,102,2,531,176,77,,1,,90,1,395,71,68,,,,82,3,377,62,63,,,,69,2,310,65,57,,,,69,4
서울특별시 영등포구 여의도동,전기,,,,,,,,,2,,,,,,,,2,,,,,,,,6,,,,,,,,8,,,,,,,,13,,,,,,,,18,,,,,,,,59,18,,,,,,,110,104,,,,,,,232,276,,,,,,
서울특별시 영등포구 여의도동,하이브리드(LPG+전기),50,,,,,,,,68,,,,,,,,68,6,,,,,,,54,6,,,,,,,33,5,,,,,,,20,,,,,,,,23,,,,,,,,13,,,,,,,,8,,,,,,,,7,,,,,,,
서울특별시 영등포구 여의도동,하이브리드(경유+전기),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,
서울특별시 영등포구 여의도동,하이브리드(휘발유+전기),40,,,,,,,,49,,,,,,,,86,,,,,,,,166,5,,,,,,,298,76,,,,,,,456,154,,,,,,,631,260,,,,,,,684,300,,,,,,,700,322,,,,,,,734,303,,,,,,
서울특별시 영등포구 여의도동,휘발유,9552,448,13,,1,,22,,8579,251,18,,1,,19,,7713,161,18,,1,,18,,7200,19,13,,1,,15,,7221,16,11,,1,,14,,7410,15,10,,,,13,,7644,9,11,,,,14,,7275,5,7,,,,16,,6769,3,4,,,,19,,6216,4,5,,,,19,
서울특별시 영등포구 여의도동,휘발유(무연),7492,96,14,,,,13,,7119,65,15,,,,11,,6660,109,10,,,,10,,6703,105,9,,,,9,,6623,69,10,,,,8,,6916,228,8,,,,8,,7345,239,5,,,,11,,7293,136,2,,,,13,,6852,92,2,,,,14,,6202,42,2,,,,13,
서울특별시 영등포구 여의도동,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,6,,,,,,,,6,,,,,,,,6,,,,,,,
서울특별시 영등포구 당산동1가,CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 당산동1가,경유,284,,60,,,,251,13,291,,57,,,,258,23,285,,63,,,,260,18,301,,64,,1,,257,18,318,,59,,1,1,257,22,365,,58,,1,1,254,27,403,,64,,1,2,248,30,431,,67,,1,2,266,30,439,,69,,1,1,278,19,468,1,69,2,2,2,257,17
서울특별시 영등포구 당산동1가,기타연료,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,2,,,,1,,,,1,,,,6,,,,,,,,5,
서울특별시 영등포구 당산동1가,엘피지,131,15,49,,,,56,7,128,15,42,,,,53,5,132,14,41,,,,49,7,133,13,40,,,,42,7,121,12,34,,,,36,6,116,13,21,,,,34,6,106,12,18,,,,27,5,95,13,16,,,,24,5,102,12,17,,,,22,4,106,25,14,,,,23,3
서울특별시 영등포구 당산동1가,전기,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,
서울특별시 영등포구 당산동1가,하이브리드(LPG+전기),,,,,,,,,1,,,,,,,,3,,,,,,,,4,,,,,,,,3,,,,,,,,3,,,,,,,,4,,,,,,,,4,,,,,,,,5,,,,,,,,4,,,,,,,
서울특별시 영등포구 당산동1가,하이브리드(휘발유+전기),1,,,,,,,,1,,,,,,,,1,,,,,,,,8,,,,,,,,6,,,,,,,,13,,,,,,,,14,,,,,,,,17,,,,,,,,18,,,,,,,,37,,,,,,,
서울특별시 영등포구 당산동1가,휘발유,333,,1,,,,3,,343,,1,,,,3,,348,,1,,,,3,,357,,1,,,,3,,343,,1,,,,3,,347,,1,,,,3,,339,,1,,,,3,,364,,1,,,,4,,378,,1,,,,4,,383,,1,,,,3,
서울특별시 영등포구 당산동1가,휘발유(무연),589,,2,,,,,,560,,2,,,,,,537,,1,,,,1,,543,,1,,,,1,,548,,1,,,,1,,528,,1,,,,1,,528,,1,,,,1,,550,,1,,,,1,,566,,1,,,,1,,568,4,1,,,,1,
서울특별시 영등포구 당산동1가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 당산동2가,경유,308,3,56,8,,,239,18,326,3,51,5,,,239,9,344,4,53,7,,,256,39,354,10,59,7,,,253,35,381,42,57,10,,,230,50,396,88,54,13,4,2,229,53,441,2,53,,4,3,214,21,436,2,48,,2,2,204,22,458,2,43,,2,27,197,93,474,,38,,2,26,208,89
서울특별시 영등포구 당산동2가,기타연료,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,1,2,,,,,1,,1,2,,,,,1,,1,1,,,,,1,,1,23,,,,,1,,1,20
서울특별시 영등포구 당산동2가,엘피지,116,104,45,,,,31,5,111,117,42,,,,30,3,118,160,34,,,,29,3,111,235,30,,,,30,3,107,290,27,,,,22,3,107,371,20,,,,22,2,91,8,15,,,,23,3,98,8,12,,,,22,2,77,9,9,,,,21,2,76,10,13,,,,17,1
서울특별시 영등포구 당산동2가,하이브리드(LPG+전기),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울특별시 영등포구 당산동2가,하이브리드(휘발유+전기),,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,7,,,,,,,,15,,,,,,,,20,,,,,,,,31,,,,,,,,44,,,,,,,,46,,,,,,,
서울특별시 영등포구 당산동2가,휘발유,438,43,,,,,,,487,68,,,,,,,509,70,1,,,,,,495,52,1,,,,,,489,37,1,,,,,,474,30,1,,,,,,468,,1,,,,,,470,,1,,,,,,460,,1,,,,,,452,,,,,,,
서울특별시 영등포구 당산동2가,휘발유(무연),732,2,2,,,,2,,719,2,,,,,2,,709,20,1,,,,1,,690,82,2,,,,2,,660,110,2,,,,2,,646,131,2,,,,2,,629,1,1,,,,2,,624,,1,,,,2,,624,,1,,,,1,,620,,1,,,,1,
서울특별시 영등포구 당산동2가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동3가,CNG,,,,,,,12,,,,,,,,13,,,,,,,,14,,1,,,,,,15,,1,,,,,,15,,1,,,,,,15,,1,,,,,,14,,1,,,,,,14,,1,,,,,,13,,,,,,,,12,
서울특별시 영등포구 당산동3가,경유,393,2,104,16,5,12,375,646,465,2,128,15,5,10,395,740,472,7,101,14,5,13,402,740,477,9,102,13,3,16,371,466,492,8,110,18,4,11,351,448,575,16,108,15,4,8,337,439,660,25,106,17,2,8,355,271,683,25,100,13,2,8,362,279,753,54,113,16,2,12,365,264,757,49,109,12,4,17,372,282
서울특별시 영등포구 당산동3가,기타연료,,,,,,,,7,,,,,,,1,7,,,,,,,1,8,,,,,,,1,8,,,2,,,,3,7,,,1,,,,4,5,,,1,,,,2,5,,,,,,,1,5,,,1,,,,1,5,,,2,,,,1,5
서울특별시 영등포구 당산동3가,엘피지,214,72,60,,,,70,31,231,73,57,,,,67,13,226,83,48,,,,67,14,204,89,46,,,1,62,12,178,91,39,,,,57,8,173,90,32,,,,54,5,182,91,33,,,,50,3,173,79,27,,,,48,3,159,63,27,,1,,43,3,145,60,24,,,,33,6
서울특별시 영등포구 당산동3가,전기,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,5,,,,,,,,8,,,,,,,,31,,,,,,,,39,,,,,,,
서울특별시 영등포구 당산동3가,하이브리드(LPG+전기),1,,,,,,,,2,,,,,,,,3,,,,,,,,4,,,,,,,,5,,,,,,,,5,,,,,,,,3,,,,,,,,5,,,,,,,,3,,,,,,,,3,,,,,,,
서울특별시 영등포구 당산동3가,하이브리드(휘발유+전기),7,,,,,,,,9,,,,,,,,11,,,,,,,,20,,,,,,,,26,,,,,,,,31,,,,,,,,33,,,,,,,,49,,,,,,,,63,,,,,,,,61,1,,,,,,
서울특별시 영등포구 당산동3가,휘발유,592,3,,,,,2,,723,2,,,,,2,,734,6,,,,,2,,756,6,,,,,2,,753,4,,,,,2,,764,1,,,,,2,,776,,,,,,3,,748,1,,,,,3,,741,1,,,,,2,,704,2,,,,,2,
서울특별시 영등포구 당산동3가,휘발유(무연),951,1,2,,,,1,,997,3,2,,,,1,,956,9,1,,,,,,931,17,1,,,,,,889,28,1,,,,,,910,51,1,,,,,,923,66,1,,,,,,951,51,1,,,,,,1008,91,,,,,1,,990,105,,,,,,
서울특별시 영등포구 당산동3가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동4가,CNG,,,,33,,,,,,,,40,,,,,,,,44,,,,,,,,48,,,,,,,,53,,,,,,,,55,,,,,,,,55,,,,,1,,,55,,,,,1,,,55,,,,,,,,55,,,,
서울특별시 영등포구 당산동4가,경유,593,1,83,14,7,3,271,29,669,1,85,7,7,,296,31,690,1,86,3,7,1,275,123,735,1,89,1,7,,257,117,793,1,83,,7,,254,36,858,1,84,,7,,267,31,998,150,98,15,8,1,284,26,1120,105,92,9,7,5,284,39,1200,116,85,10,7,5,298,90,1240,111,76,9,1,4,296,96
서울특별시 영등포구 당산동4가,기타연료,,,,,,,,23,,,,,,,,23,,,,,,,,24,,,,,,,1,23,,,1,,,,1,22,,,1,,,,2,22,,,1,,,,2,22,,,2,,,,3,26,,,3,,,,3,25,,,2,,,,1,2
서울특별시 영등포구 당산동4가,엘피지,233,33,74,,,,53,8,248,34,66,,,,54,5,243,30,62,,,,45,4,217,29,52,,,,36,4,205,26,46,,,,34,3,203,24,42,,,,37,2,199,428,28,,,,33,3,199,266,24,,,,27,3,188,260,20,,,,21,1,167,228,15,,,,15,1
서울특별시 영등포구 당산동4가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,8,,,,,,,
서울특별시 영등포구 당산동4가,하이브리드(LPG+전기),,,,,,,,,1,,,,,,,,3,,,,,,,,4,,,,,,,,5,,,,,,,,4,,,,,,,,4,,,,,,,,2,,,,,,,,2,,,,,,,,4,,,,,,,
서울특별시 영등포구 당산동4가,하이브리드(휘발유+전기),1,,,,,,,,,,,,,,,,1,,,,,,,,12,,,,,,,,29,,,,,,,,34,,,,,,,,48,,,,,,,,74,3,,,,,,,102,3,,,,,,,138,1,,,,,,
서울특별시 영등포구 당산동4가,휘발유,822,,,,,,2,,969,,,,,,2,,1066,,,,,,2,,1097,,,,,,2,,1106,,,,,,2,,1062,,,,,,2,,1105,20,,,,,2,,1146,14,,,,,2,,1196,21,,,,,2,,1170,20,,,,,1,
서울특별시 영등포구 당산동4가,휘발유(무연),1360,,1,,,,1,,1390,,1,,,,1,,1382,,1,,,,1,,1355,,1,,,,1,,1335,,1,,,,1,,1297,,1,,,,1,,1369,147,1,,,,1,,1412,89,,,,,2,,1478,100,,,,,2,,1503,101,,,,,2,
서울특별시 영등포구 당산동4가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,1,1,,,,,,
서울특별시 영등포구 당산동5가,경유,543,,67,,3,,211,51,579,,67,,4,,181,14,599,,71,,6,,172,9,654,,66,,5,13,173,89,714,,68,,5,1,164,26,763,,61,,22,,160,40,887,,52,,17,,156,41,925,,49,,17,,154,42,837,,41,,17,,144,35,850,,44,,16,,133,33
서울특별시 영등포구 당산동5가,기타연료,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,36,,,,,,,2,,,,1,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,2,
서울특별시 영등포구 당산동5가,수소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
서울특별시 영등포구 당산동5가,엘피지,208,17,60,,,,26,3,208,16,51,,,,22,2,208,11,43,,,,22,2,195,10,35,,,,23,2,188,9,24,,,,20,6,181,9,22,,,,17,6,183,9,19,,,,19,6,176,9,14,,,,13,6,135,8,12,,,,12,6,114,9,9,,,,10,7
서울특별시 영등포구 당산동5가,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,
서울특별시 영등포구 당산동5가,하이브리드(LPG+전기),1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동5가,하이브리드(휘발유+전기),3,,,,,,,,3,,,,,,,,4,,,,,,,,15,,,,,,,,29,,,,,,,,38,,,,,,,,49,,,,,,,,74,,,,,,,,92,,,,,,,,120,,,,,,,
서울특별시 영등포구 당산동5가,휘발유,1039,,,,,,,,1106,,,,,,,,1156,,,,,,,,1150,,,,,,,,1187,,,,,,,,1188,,,,,,,,1209,,,,,,,,1197,,,,,,,,1054,,,,,,,,1039,,,,,,2,
서울특별시 영등포구 당산동5가,휘발유(무연),1473,,1,,1,,1,,1376,,,,1,,1,,1358,,1,,,,,,1354,,,,,,,,1339,,,,,,,,1343,,,,,,,,1360,,1,,,,,,1335,,,,,,,,1178,,,,,,,,1222,2,,,,,1,
서울특별시 영등포구 당산동5가,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,4,,,,,,,
서울특별시 영등포구 당산동6가,CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,
서울특별시 영등포구 당산동6가,경유,172,,58,,1,6,258,25,175,,54,,2,6,248,39,185,,56,,1,6,260,32,205,,54,,1,6,215,33,209,,61,,1,1,202,38,209,,61,,2,1,215,4,239,,61,,2,1,204,5,239,,56,,1,1,182,6,246,,54,,3,1,180,8,279,,49,,5,1,199,5
서울특별시 영등포구 당산동6가,기타연료,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,1,
서울특별시 영등포구 당산동6가,엘피지,60,6,28,,,,33,8,60,7,30,,,,26,11,58,11,24,,,,30,6,57,6,21,,,,19,3,55,6,20,,,,20,4,53,6,19,,,,15,2,49,7,15,,,,10,2,45,6,14,,,,9,3,51,4,9,,,,10,3,48,4,9,,,,10,3
서울특별시 영등포구 당산동6가,전기,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동6가,하이브리드(LPG+전기),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동6가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,2,,,,,,,,7,,,,,,,,6,,,,,,,,7,,,,,,,,8,,,,,,,,8,,,,,,,,10,,,,,,,,20,,,,,,,
서울특별시 영등포구 당산동6가,휘발유,237,,,,,,,,263,,,,,,,,278,,,,,,,,265,,,,,,,,261,,,,,,,,271,,,,,,,,249,,,,,,,,231,,,,,,,,249,,,,,,,,239,,,,,,,
서울특별시 영등포구 당산동6가,휘발유(무연),342,,3,,,,,,333,,2,,,,,,332,,2,,,,,,319,,1,,,,,,342,,1,,,,,,325,,1,,,,,,338,,1,,,,,,316,,1,,,,,,287,,,,,,,,314,,,,,,,
서울특별시 영등포구 당산동,CNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,
서울특별시 영등포구 당산동,경유,327,,40,,1,,149,22,335,,34,,1,2,145,65,351,,44,,2,,142,13,372,,44,,1,6,133,21,425,,39,,2,10,129,23,461,,37,,2,9,131,26,526,,43,,2,9,147,23,559,,44,,3,10,152,17,566,,37,,4,7,152,13,567,,38,,2,7,147,12
서울특별시 영등포구 당산동,기타연료,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,1,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,,,,,,,,1,
서울특별시 영등포구 당산동,엘피지,113,167,34,,,,25,2,116,167,26,,,,26,2,117,164,20,,,,28,4,107,154,18,,,,20,2,122,159,16,,,,17,2,123,171,17,,,,18,,125,169,16,,,,19,1,120,158,10,,,,19,2,112,168,9,,,,16,1,98,142,7,,,,13,2
서울특별시 영등포구 당산동,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,5,,,,,,,
서울특별시 영등포구 당산동,하이브리드(LPG+전기),3,,,,,,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,3,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,
서울특별시 영등포구 당산동,하이브리드(휘발유+전기),2,,,,,,,,2,,,,,,,,1,,,,,,,,10,,,,,,,,15,,,,,,,,21,,,,,,,,33,,,,,,,,42,,,,,,,,59,,,,,,,,76,,,,,,,
서울특별시 영등포구 당산동,휘발유,464,,,,,,1,,536,,,,,,1,,565,,,,,,1,,597,,,,,,1,,595,,,,,,1,,577,,,,,,1,,555,,,,,,1,,559,,,,,,1,,550,,,,,,1,,532,,,,,,1,
서울특별시 영등포구 당산동,휘발유(무연),706,,,,,,5,,688,,,,,,4,,667,,,,,,3,,667,,,,,,2,,722,,,,,,2,,729,,,,,,2,,711,,,,,,2,,693,,,,,,2,,699,,,,,,2,,740,,,,,,2,
서울특별시 영등포구 당산동,휘발유(유연),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,3,,,,,,,
서울특별시 영등포구 도림동,CNG,,,,11,,,,,,,,11,,,,,,1,,11,,,,,1,1,,11,,,,,1,1,,11,,,,,2,,,20,,,,,1,,,20,,,,,1,,,29,,,,,1,,,29,,,,,2,,,29,,,,
서울특별시 영등포구 도림동,경유,763,,196,,,19,569,103,710,,171,,,1,502,66,735,,178,,,16,509,97,783,,186,,,20,521,100,852,,169,29,,19,507,94,1142,1,203,40,,17,535,109,1257,6,209,42,,74,552,125,1402,14,212,52,1,77,566,116,1486,13,220,49,1,56,548,115,1465,64,225,41,1,61,539,133
서울특별시 영등포구 도림동,기타연료,2,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,1,,,,,2,,,,,,,2,1,,,,,,,4,2,,,1,,,,4,2,,,1,,,,4,2
서울특별시 영등포구 도림동,엘피지,420,146,128,,,,115,17,380,141,113,,,,94,18,358,142,93,,,,93,17,365,138,71,,,,90,16,339,149,69,,,,80,17,346,164,67,,,,85,20,339,165,54,,,,66,18,331,169,36,,,,71,10,313,166,34,,,,57,8,282,192,27,,,,41,8
서울특별시 영등포구 도림동,전기,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,
서울특별시 영등포구 도림동,하이브리드(LPG+전기),2,,,,,,,,6,,,,,,,,9,,,,,,,,6,,,,,,,,5,,,,,,,,6,,,,,,,,7,,,,,,,,5,,,,,,,,6,,,,,,,,5,,,,,,,
서울특별시 영등포구 도림동,하이브리드(휘발유+전기),,,,,,,,,1,,,,,,,,7,,,,,,,,25,,,,,,,,29,,,,,,,,41,,,,,,,,51,1,,,,,,,67,1,,,,,,,92,1,,,,,,,114,5,,,,,,
서울특별시 영등포구 도림동,휘발유,923,,,,,,,,909,,,,,,,,928,,,,,,2,,933,,,,,,1,,921,,,,,,1,,1064,,,,,,1,,1057,,,,,,,,1092,,,,,,1,,1065,,,,,,1,,1091,5,,,,,2,
