년도,구분,사업ㆍ비사업,서울특별시 송파구 잠실동(CNG),서울특별시 송파구 잠실동(경유),서울특별시 송파구 잠실동(기타연료),서울특별시 송파구 잠실동(수소),서울특별시 송파구 잠실동(엘피지),서울특별시 송파구 잠실동(전기),서울특별시 송파구 잠실동(하이브리드(LPG+전기)),서울특별시 송파구 잠실동(하이브리드(경유+전기)),서울특별시 송파구 잠실동(하이브리드(휘발유+전기)),서울특별시 송파구 잠실동(휘발유),서울특별시 송파구 잠실동(휘발유(무연)),서울특별시 송파구 잠실동(휘발유(유연)),서울특별시 송파구 신천동(CNG),서울특별시 송파구 신천동(경유),서울특별시 송파구 신천동(기타연료),서울특별시 송파구 신천동(엘피지),서울특별시 송파구 신천동(전기),서울특별시 송파구 신천동(하이브리드(LPG+전기)),서울특별시 송파구 신천동(하이브리드(경유+전기)),서울특별시 송파구 신천동(하이브리드(휘발유+전기)),서울특별시 송파구 신천동(휘발유),서울특별시 송파구 신천동(휘발유(무연)),서울특별시 송파구 신천동(휘발유(유연)),서울특별시 송파구 풍납동(CNG),서울특별시 송파구 풍납동(경유),서울특별시 송파구 풍납동(기타연료),서울특별시 송파구 풍납동(엘피지),서울특별시 송파구 풍납동(전기),서울특별시 송파구 풍납동(하이브리드(LPG+전기)),서울특별시 송파구 풍납동(하이브리드(휘발유+전기)),서울특별시 송파구 풍납동(휘발유),서울특별시 송파구 풍납동(휘발유(무연)),서울특별시 송파구 풍납동(휘발유(유연)),서울특별시 송파구 송파동(CNG),서울특별시 송파구 송파동(경유),서울특별시 송파구 송파동(기타연료),서울특별시 송파구 송파동(엘피지),서울특별시 송파구 송파동(전기),서울특별시 송파구 송파동(하이브리드(LPG+전기)),서울특별시 송파구 송파동(하이브리드(휘발유+전기)),서울특별시 송파구 송파동(휘발유),서울특별시 송파구 송파동(휘발유(무연)),서울특별시 송파구 송파동(휘발유(유연)),서울특별시 송파구 석촌동(CNG),서울특별시 송파구 석촌동(경유),서울특별시 송파구 석촌동(기타연료),서울특별시 송파구 석촌동(엘피지),서울특별시 송파구 석촌동(전기),서울특별시 송파구 석촌동(하이브리드(LPG+전기)),서울특별시 송파구 석촌동(하이브리드(휘발유+전기)),서울특별시 송파구 석촌동(휘발유),서울특별시 송파구 석촌동(휘발유(무연)),서울특별시 송파구 석촌동(휘발유(유연)),서울특별시 송파구 삼전동(CNG),서울특별시 송파구 삼전동(경유),서울특별시 송파구 삼전동(기타연료),서울특별시 송파구 삼전동(엘피지),서울특별시 송파구 삼전동(전기),서울특별시 송파구 삼전동(하이브리드(LPG+전기)),서울특별시 송파구 삼전동(하이브리드(휘발유+전기)),서울특별시 송파구 삼전동(휘발유),서울특별시 송파구 삼전동(휘발유(무연)),서울특별시 송파구 삼전동(휘발유(유연)),서울특별시 송파구 가락동(CNG),서울특별시 송파구 가락동(경유),서울특별시 송파구 가락동(기타연료),서울특별시 송파구 가락동(수소),서울특별시 송파구 가락동(엘피지),서울특별시 송파구 가락동(전기),서울특별시 송파구 가락동(하이브리드(LPG+전기)),서울특별시 송파구 가락동(하이브리드(휘발유+전기)),서울특별시 송파구 가락동(휘발유),서울특별시 송파구 가락동(휘발유(무연)),서울특별시 송파구 가락동(휘발유(유연)),서울특별시 송파구 문정동(CNG),서울특별시 송파구 문정동(경유),서울특별시 송파구 문정동(기타연료),서울특별시 송파구 문정동(수소),서울특별시 송파구 문정동(엘피지),서울특별시 송파구 문정동(전기),서울특별시 송파구 문정동(하이브리드(LPG+전기)),서울특별시 송파구 문정동(하이브리드(경유+전기)),서울특별시 송파구 문정동(하이브리드(휘발유+전기)),서울특별시 송파구 문정동(휘발유),서울특별시 송파구 문정동(휘발유(무연)),서울특별시 송파구 문정동(휘발유(유연)),서울특별시 송파구 장지동(CNG),서울특별시 송파구 장지동(경유),서울특별시 송파구 장지동(기타연료),서울특별시 송파구 장지동(엘피지),서울특별시 송파구 장지동(전기),서울특별시 송파구 장지동(하이브리드(CNG+전기)),서울특별시 송파구 장지동(하이브리드(LPG+전기)),서울특별시 송파구 장지동(하이브리드(휘발유+전기)),서울특별시 송파구 장지동(휘발유),서울특별시 송파구 장지동(휘발유(무연)),서울특별시 송파구 장지동(휘발유(유연)),서울특별시 송파구 방이동(CNG),서울특별시 송파구 방이동(경유),서울특별시 송파구 방이동(기타연료),서울특별시 송파구 방이동(수소),서울특별시 송파구 방이동(엘피지),서울특별시 송파구 방이동(전기),서울특별시 송파구 방이동(하이브리드(LPG+전기)),서울특별시 송파구 방이동(하이브리드(휘발유+전기)),서울특별시 송파구 방이동(휘발유),서울특별시 송파구 방이동(휘발유(무연)),서울특별시 송파구 방이동(휘발유(유연)),서울특별시 송파구 오금동(CNG),서울특별시 송파구 오금동(경유),서울특별시 송파구 오금동(기타연료),서울특별시 송파구 오금동(엘피지),서울특별시 송파구 오금동(전기),서울특별시 송파구 오금동(하이브리드(LPG+전기)),서울특별시 송파구 오금동(하이브리드(휘발유+전기)),서울특별시 송파구 오금동(휘발유),서울특별시 송파구 오금동(휘발유(무연)),서울특별시 송파구 오금동(휘발유(유연)),서울특별시 송파구 거여동(CNG),서울특별시 송파구 거여동(경유),서울특별시 송파구 거여동(기타연료),서울특별시 송파구 거여동(엘피지),서울특별시 송파구 거여동(전기),서울특별시 송파구 거여동(하이브리드(LPG+전기)),서울특별시 송파구 거여동(하이브리드(경유+전기)),서울특별시 송파구 거여동(하이브리드(휘발유+전기)),서울특별시 송파구 거여동(휘발유),서울특별시 송파구 거여동(휘발유(무연)),서울특별시 송파구 거여동(휘발유(유연)),서울특별시 송파구 마천동(CNG),서울특별시 송파구 마천동(경유),서울특별시 송파구 마천동(기타연료),서울특별시 송파구 마천동(엘피지),서울특별시 송파구 마천동(전기),서울특별시 송파구 마천동(하이브리드(LPG+전기)),서울특별시 송파구 마천동(하이브리드(경유+전기)),서울특별시 송파구 마천동(하이브리드(휘발유+전기)),서울특별시 송파구 마천동(휘발유),서울특별시 송파구 마천동(휘발유(무연)),서울특별시 송파구 마천동(휘발유(유연))
2010,화물,사업용,,58,,,33,,,,,,1,,,333,7,125,,,,,,,,,118,24,32,,,,,,,,679,,30,,,,,,,,88,,18,,,,,,,,58,,20,,,,,,,,369,8,,47,,,,,,,,566,1,,61,,,,,,,,,48,1,15,,,,,,,,,226,5,,47,,,,,,,,105,8,30,,,,,,,,145,,23,,,,,,,,,195,,48,,,,,,,
2011,승용,비사업용,3,5423,1,,1644,,25,,81,12531,12699,,1,2529,,679,,22,,34,5517,5813,,1,2158,,988,,11,15,3116,4345,,2,2254,,875,,14,21,3770,4877,,1,1611,1,731,,6,12,2387,3218,,,1511,,661,,7,10,2275,3324,,5,4440,,,1655,,26,44,6995,9126,2,5,3049,1,,1105,1,10,,34,5544,6556,,4,836,,497,,,8,7,1182,1673,,4,3210,1,,1127,,18,40,6363,7046,2,3,1986,1,907,,9,13,3075,4088,,2,2282,,1079,,8,,9,2301,3756,,2,1909,,1134,1,5,,6,2078,3436,
2011,승용,사업용,1,9,,,317,,,,,21,8,,1,44,,221,,,,,20,16,,,7,,445,,,,27,36,,2,1,,156,,,,,2,,2,25,,341,,1,1,49,46,,1,21,,307,,,,13,12,,85,3,,,239,,,,1,1,,,15,,,179,,,,,34,9,,1,,,527,,,,,,,,2,13,,,566,,,1,60,15,,7,,,845,,,,,1,,,,,259,,,,,,,,2,,,487,,,,,1,,
2011,승합,비사업용,,645,6,,378,,,,,4,11,,,272,,143,,,,,,4,,,349,,250,,,,1,2,,,338,1,236,,,,3,7,,,358,1,219,,,,2,4,,,252,1,203,,,,2,6,,,821,1,,448,,,,,7,,,415,1,,293,,,,,2,3,,1,148,1,106,,,,,,3,,1,578,1,,284,,,,3,15,,,351,2,268,,,,2,3,,,460,1,281,,,,,2,4,,,531,,330,,,,,2,2,
2011,승합,사업용,,318,,,1,,,,,,,,,19,,,,,,,,,,,25,,1,,,,2,,,,2,,,,,,,,,,40,,3,,,,,,,,36,,,,,,,,,,43,,,,,,,,,,,3,,,,,,,,,,,620,76,,,,,,,,,,,83,,,,,,,,,,115,65,,,,,,,,,104,,,,,,,,,,,,11,,,,,,,,,
2011,특수,비사업용,,3,2,,,,,,,,,,,10,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,4,,,,,,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,7,,,,,,,,,
2011,특수,사업용,,2,,,,,,,,,,,,5,,,,,,,,,,,31,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,31,,,,,,,,,,,10,,,,,,,,,,,,4,,,,,,,,,,,16,,,,,,,,,,,18,,,,,,,,,,17,,,,,,,,,,,16,,,,,,,,,
2011,화물,비사업용,,1512,4,,292,,,,,10,10,,17,742,12,69,,,,,11,3,,,932,1,193,,,,8,5,,5,1152,4,215,,,,7,3,,,1036,3,204,,,,5,2,,7,906,,209,,,,3,2,,19,3361,6,,503,,,,8,9,,6,1864,6,,309,,,,,3,3,,1,421,,80,,,,,1,,,,1764,13,,284,,,,5,6,,,1385,5,279,,,,5,1,,,1175,3,262,,,,,3,3,,,1527,4,316,,,,,4,1,
2011,화물,사업용,,59,,,29,,,,,,1,,,362,8,116,,,,,,,,,114,33,34,,,,,,,,661,1,31,,,,,,,,78,,20,,,,,,,,60,,22,,,,,,,,395,9,,51,,,,,,,,474,1,,70,,,,,,,,,54,1,15,,,,,,,,,239,5,,42,,,,,,,,97,7,33,,,,,,,,154,,26,,,,,,,,,186,,47,,,,,,,
2012,승용,비사업용,4,5749,1,,1631,1,19,,175,12547,12328,,2,2631,,653,,19,,73,5527,5644,,4,2286,,960,1,10,43,3156,4248,,4,2515,,897,,19,55,4000,5080,,3,1758,1,729,,6,35,2417,3226,,1,1580,,662,,8,36,2254,3237,,5,4317,,,1438,,25,84,6578,8142,1,6,3294,,,1104,1,12,,90,5649,6433,,6,870,,488,1,,7,18,1166,1638,,3,3436,1,,1117,,20,107,6410,6875,2,4,2090,1,819,,9,34,3087,4065,,2,2309,,1047,,11,,36,2337,3679,,2,2017,,1103,1,10,,26,2064,3398,
2012,승용,사업용,2,20,,,313,,,,,15,10,,1,29,,174,,,,,14,18,,,7,,441,,,,17,50,,2,5,,195,,,,3,15,,2,24,,275,,,1,31,37,,1,17,,259,,,,7,11,,78,5,,,201,,,,,3,,1,26,,,263,,,,1,47,14,,14,,,541,,,,,,,,4,15,,,492,,,1,49,26,,9,,,897,,,,,1,,,,,267,,,,,,,,3,,,424,,,,,,,
2012,승합,비사업용,,615,9,,323,,,,,3,9,,,265,,97,,,,,1,,,,346,,217,,,,1,2,,,347,1,223,,,,3,6,,,382,1,188,,,,2,2,,,255,2,183,,,,2,2,,1,759,1,,346,,,,,8,,,421,1,,257,,,,,1,2,,1,147,1,98,,,,,,3,,1,572,3,,227,,,,3,14,,,343,2,231,,,,2,3,,,465,1,261,,,,,2,3,,,510,,285,,,,,1,2,
2012,승합,사업용,,249,,,,,,,,,,,,16,,,,,,,,,,,28,,1,,,,4,,,,3,,,,,,,,,,101,,3,,,,,,,,36,,,,,,,,,,41,,,,,,,,,,,4,,,1,,,,,,,,614,77,,,,4,,,,,,,73,,,,,,,,,,115,67,,,,,,,,,104,,,,,,,,,,,,14,,,,,,,,,
2012,특수,비사업용,,2,2,,,,,,,,,,,10,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,7,,,,,,,1,,,,8,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,11,,,,,,,,,
2012,특수,사업용,,,,,,,,,,,,,,4,,,,,,,,,,,31,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,17,,,,,,,,,,,9,,,,,,,,,,,,4,,,,,,,,,,,19,,,,,,,,,,,25,,,,,,,,,,16,,,,,,,,,,,19,,,,,,,,,
