연도,연료,용도,승용,승합,화물,특수
2016,기타연료,사업용,0,0,3,0
2016,엘피지,비사업용,8779,1178,1246,0
2016,엘피지,사업용,3865,0,303,0
2016,전기,비사업용,25,0,0,0
2016,전기,사업용,5,0,0,0
2016,태양열,비사업용,1,0,0,0
2016,하이브리드(CNG+전기),사업용,0,1,0,0
2016,하이브리드(LPG+전기),비사업용,107,0,0,0
2016,하이브리드(휘발유+전기),비사업용,1235,0,0,0
2016,하이브리드(휘발유+전기),사업용,1,0,0,0
2016,휘발유,비사업용,26234,15,35,0
2016,휘발유,사업용,8,0,0,0
2016,휘발유(무연),비사업용,38311,28,22,0
2016,휘발유(무연),사업용,53,0,0,0
2016,휘발유(유연),비사업용,36,0,0,0
2017,CNG,비사업용,16,2,12,0
2017,CNG,사업용,5,719,0,0
2017,경유,비사업용,29861,3902,10500,64
2017,경유,사업용,67,73,1585,177
2017,기타연료,비사업용,3,30,95,9
2017,기타연료,사업용,0,0,1,0
2017,엘피지,비사업용,8382,985,1102,0
2017,엘피지,사업용,3960,0,278,0
2017,전기,비사업용,68,0,0,1
2017,전기,사업용,4,0,0,0
2017,하이브리드(CNG+전기),사업용,0,1,0,0
2017,하이브리드(LPG+전기),비사업용,102,0,0,0
2017,하이브리드(휘발유+전기),비사업용,1804,0,0,0
2017,하이브리드(휘발유+전기),사업용,2,0,0,0
2017,휘발유,비사업용,26487,12,39,0
2017,휘발유,사업용,8,0,1,0
2017,휘발유(무연),비사업용,38478,21,23,0
2017,휘발유(무연),사업용,88,0,0,0
2017,휘발유(유연),비사업용,37,0,0,0
2018,CNG,비사업용,16,2,12,0
2018,CNG,사업용,4,719,0,0
2018,경유,비사업용,30638,3710,10328,77
2018,경유,사업용,70,67,1713,183
2018,기타연료,비사업용,2,42,113,7
2018,기타연료,사업용,0,0,1,0
2018,수소,비사업용,2,0,0,0
2018,엘피지,비사업용,7896,847,962,0
2018,엘피지,사업용,4013,0,261,0
2018,전기,비사업용,161,0,0,1
2018,전기,사업용,2,0,0,0
2018,하이브리드(CNG+전기),사업용,0,1,0,0
2018,하이브리드(LPG+전기),비사업용,104,0,0,0
2018,하이브리드(휘발유+전기),비사업용,2388,0,0,0
2018,하이브리드(휘발유+전기),사업용,2,0,0,0
2018,휘발유,비사업용,26243,12,39,0
2018,휘발유,사업용,6,0,1,0
2018,휘발유(무연),비사업용,38831,23,27,0
2018,휘발유(무연),사업용,86,0,0,0
2018,휘발유(유연),비사업용,35,0,0,0
2019,CNG,비사업용,14,2,12,0
2019,CNG,사업용,3,719,0,0
2019,경유,비사업용,30386,3532,10276,80
2019,경유,사업용,65,56,1672,180
2019,기타연료,비사업용,2,43,112,5
2019,기타연료,사업용,0,0,1,0
2019,수소,비사업용,6,0,0,0
2019,엘피지,비사업용,7693,798,922,0
2019,엘피지,사업용,4078,6,258,0
2019,전기,비사업용,173,0,0,1
2019,전기,사업용,1,0,0,0
2019,하이브리드(CNG+전기),사업용,0,1,0,0
2019,하이브리드(LPG+전기),비사업용,108,0,0,0
2019,하이브리드(휘발유+전기),비사업용,2675,0,0,0
2019,하이브리드(휘발유+전기),사업용,2,0,0,0
2019,휘발유,비사업용,26320,12,42,0
2019,휘발유,사업용,6,0,1,0
2019,휘발유(무연),비사업용,39830,24,27,0
2019,휘발유(무연),사업용,78,0,0,0
2019,휘발유(유연),비사업용,38,0,0,0
